year,obstacle,count
1992,Flat,20
1992,Ledge,49
1992,Manual,17
1992,Rail,15
1992,Transition,32
1993,Flat,7
1993,Ledge,24
1993,Manual,9
1994,Flat,33
1994,Ledge,12
1994,Manual,1
1995,Flat,4
1995,Ledge,5
1996,Flat,12
1996,Ledge,26
1996,Manual,3
1996,Rail,30
1999,Flat,2
1999,Ledge,10
1999,Rail,5
2000,Flat,3
2000,Ledge,22
2000,Manual,3
2000,Rail,23
2000,Stairs,7
2003,Flat,2
2003,Ledge,17
2003,Manual,10
2003,Rail,31
2003,Stairs,8
2007,Flat,2
2007,Ledge,11
2007,Manual,6
2007,Rail,13
2007,Transition,1
2012,Flat,1
2012,Ledge,4
2012,Manual,2
2012,Transition,1
2015,Flat,1
2015,Ledge,7
2015,Manual,5
2015,Rail,6
2015,Transition,4
